holiday,date,firstobs,firstproc
Robbie Burns Day aka Burns Nicht,1906-01-25,1759,1759
Australia Day,1906-01-26,1804,1804
Groundhog Day,1906-02-02,1841,1841
Lincoln’s Birthday,1906-02-12,1809,1809
Valentine’s Day,1906-02-14,200,200
Alberta Family Day,1906-02-19,1900,1900
Washington’s Birthday,1906-02-19,1796,1796
Mardi Gras,1906-02-27,1583,1583
Ash Wednesday,1906-02-28,1583,1583
St. Patrick’s day,1906-03-17,400,400
Vernal Equinox,1906-03-21,-10000,-10000
April Fools’ Day,1906-04-01,1564,1564
Palm Sunday,1906-04-08,1583,1583
Good Friday,1906-04-13,1583,1583
Easter Sunday,1906-04-15,30,30
Easter Monday,1906-04-16,1583,1583
Cinco de Mayo,1906-05-05,1809,1809
Victoria Day,1906-05-24,1837,1845
Memorial Day,1906-05-28,1868,1868
Summer Solstice,1906-06-22,-10000,-10000
St. Jean-Baptiste Day,1906-06-24,1638,1638
Canada Day,1906-07-02,1867,1867
Independence Day,1906-07-04,1776,1776
Utah Pioneer Day,1906-07-24,1847,1847
Canadian Labour Day,1906-09-03,1884,1884
American Labor Day,1906-09-03,1882,1882
Autumnal Equinox,1906-09-23,-10000,-10000
Canadian Thanksgiving,1906-10-08,1700,1700
Columbus Day,1906-10-12,1905,1905
Creationism Day,1906-10-23,-4004,-4004
Halloween,1906-10-31,-2000,-2000
General Election Day,1906-11-06,1789,1789
American Thanksgiving,1906-11-29,1621,1621
St. Andrews Day,1906-11-30,732,732
Winter Solstice,1906-12-22,-10000,-10000
Christmas Eve,1906-12-24,1,1
Christmas in UK and Canada,1906-12-25,1,1
Christmas in the USA,1906-12-25,1,1
Boxing Day in UK and Canada,1906-12-26,1,1
New Year’s Eve,1906-12-31,-154,-154
New Year’s Day,1907-01-01,-153,-153
US Congressional Start Day,1907-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1907-01-25,1759,1759
Australia Day,1907-01-26,1804,1804
Groundhog Day,1907-02-02,1841,1841
Mardi Gras,1907-02-12,1583,1583
Lincoln’s Birthday,1907-02-12,1809,1809
Ash Wednesday,1907-02-13,1583,1583
Valentine’s Day,1907-02-14,200,200
Alberta Family Day,1907-02-18,1900,1900
Washington’s Birthday,1907-02-18,1796,1796
St. Patrick’s day,1907-03-17,400,400
Vernal Equinox,1907-03-21,-10000,-10000
Palm Sunday,1907-03-24,1583,1583
Good Friday,1907-03-29,1583,1583
Easter Sunday,1907-03-31,30,30
April Fools’ Day,1907-04-01,1564,1564
Easter Monday,1907-04-01,1583,1583
Cinco de Mayo,1907-05-05,1809,1809
Mother’s Day,1907-05-12,1907,1907
Victoria Day,1907-05-24,1837,1845
Memorial Day,1907-05-27,1868,1868
Summer Solstice,1907-06-22,-10000,-10000
St. Jean-Baptiste Day,1907-06-24,1638,1638
Canada Day,1907-07-01,1867,1867
Independence Day,1907-07-04,1776,1776
Utah Pioneer Day,1907-07-24,1847,1847
Canadian Labour Day,1907-09-02,1884,1884
American Labor Day,1907-09-02,1882,1882
Autumnal Equinox,1907-09-24,-10000,-10000
Columbus Day,1907-10-12,1905,1905
Canadian Thanksgiving,1907-10-14,1700,1700
Creationism Day,1907-10-23,-4004,-4004
Halloween,1907-10-31,-2000,-2000
American Thanksgiving,1907-11-28,1621,1621
St. Andrews Day,1907-11-30,732,732
Winter Solstice,1907-12-22,-10000,-10000
Christmas Eve,1907-12-24,1,1
Christmas in UK and Canada,1907-12-25,1,1
Christmas in the USA,1907-12-25,1,1
Boxing Day in UK and Canada,1907-12-26,1,1
New Year’s Eve,1907-12-31,-154,-154
New Year’s Day,1908-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1908-01-25,1759,1759
Australia Day,1908-01-26,1804,1804
Groundhog Day,1908-02-02,1841,1841
Lincoln’s Birthday,1908-02-12,1809,1809
Valentine’s Day,1908-02-14,200,200
Alberta Family Day,1908-02-17,1900,1900
Washington’s Birthday,1908-02-17,1796,1796
Mardi Gras,1908-03-03,1583,1583
Ash Wednesday,1908-03-04,1583,1583
St. Patrick’s day,1908-03-17,400,400
Vernal Equinox,1908-03-21,-10000,-10000
April Fools’ Day,1908-04-01,1564,1564
Palm Sunday,1908-04-12,1583,1583
Good Friday,1908-04-17,1583,1583
Easter Sunday,1908-04-19,30,30
Easter Monday,1908-04-20,1583,1583
Cinco de Mayo,1908-05-05,1809,1809
Mother’s Day,1908-05-10,1907,1907
Victoria Day,1908-05-25,1837,1845
Memorial Day,1908-05-25,1868,1868
Summer Solstice,1908-06-21,-10000,-10000
St. Jean-Baptiste Day,1908-06-24,1638,1638
Canada Day,1908-07-01,1867,1867
Independence Day,1908-07-04,1776,1776
Utah Pioneer Day,1908-07-24,1847,1847
Canadian Labour Day,1908-09-07,1884,1884
American Labor Day,1908-09-07,1882,1882
Autumnal Equinox,1908-09-23,-10000,-10000
Canadian Thanksgiving,1908-10-12,1700,1700
Columbus Day,1908-10-12,1905,1905
Creationism Day,1908-10-23,-4004,-4004
Halloween,1908-10-31,-2000,-2000
General Election Day,1908-11-03,1789,1789
American Thanksgiving,1908-11-26,1621,1621
St. Andrews Day,1908-11-30,732,732
Winter Solstice,1908-12-22,-10000,-10000
Christmas Eve,1908-12-24,1,1
Christmas in UK and Canada,1908-12-25,1,1
Christmas in the USA,1908-12-25,1,1
Boxing Day in UK and Canada,1908-12-26,1,1
New Year’s Eve,1908-12-31,-154,-154
New Year’s Day,1909-01-01,-153,-153
US Congressional Start Day,1909-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1909-01-25,1759,1759
Australia Day,1909-01-26,1804,1804
Groundhog Day,1909-02-02,1841,1841
Lincoln’s Birthday,1909-02-12,1809,1809
Valentine’s Day,1909-02-14,200,200
Alberta Family Day,1909-02-15,1900,1900
Washington’s Birthday,1909-02-15,1796,1796
Mardi Gras,1909-02-23,1583,1583
Ash Wednesday,1909-02-24,1583,1583
US Presidential Inauguration Day,1909-03-04,1789,1789
St. Patrick’s day,1909-03-17,400,400
Vernal Equinox,1909-03-21,-10000,-10000
April Fools’ Day,1909-04-01,1564,1564
Palm Sunday,1909-04-04,1583,1583
Good Friday,1909-04-09,1583,1583
Easter Sunday,1909-04-11,30,30
Easter Monday,1909-04-12,1583,1583
Cinco de Mayo,1909-05-05,1809,1809
Mother’s Day,1909-05-09,1907,1907
Victoria Day,1909-05-24,1837,1845
Memorial Day,1909-05-31,1868,1868
Summer Solstice,1909-06-22,-10000,-10000
St. Jean-Baptiste Day,1909-06-24,1638,1638
Canada Day,1909-07-01,1867,1867
Independence Day,1909-07-04,1776,1776
Utah Pioneer Day,1909-07-24,1847,1847
Canadian Labour Day,1909-09-06,1884,1884
American Labor Day,1909-09-06,1882,1882
Autumnal Equinox,1909-09-23,-10000,-10000
Canadian Thanksgiving,1909-10-11,1700,1700
Columbus Day,1909-10-12,1905,1905
Creationism Day,1909-10-23,-4004,-4004
Halloween,1909-10-31,-2000,-2000
American Thanksgiving,1909-11-25,1621,1621
St. Andrews Day,1909-11-30,732,732
Winter Solstice,1909-12-22,-10000,-10000
Christmas Eve,1909-12-24,1,1
Christmas in UK and Canada,1909-12-25,1,1
Christmas in the USA,1909-12-25,1,1
Boxing Day in UK and Canada,1909-12-26,1,1
New Year’s Eve,1909-12-31,-154,-154
New Year’s Day,1910-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1910-01-25,1759,1759
Australia Day,1910-01-26,1804,1804
Groundhog Day,1910-02-02,1841,1841
Mardi Gras,1910-02-08,1583,1583
Ash Wednesday,1910-02-09,1583,1583
Lincoln’s Birthday,1910-02-12,1809,1809
Valentine’s Day,1910-02-14,200,200
Alberta Family Day,1910-02-21,1900,1900
Washington’s Birthday,1910-02-21,1796,1796
St. Patrick’s day,1910-03-17,400,400
Palm Sunday,1910-03-20,1583,1583
Vernal Equinox,1910-03-21,-10000,-10000
Good Friday,1910-03-25,1583,1583
Easter Sunday,1910-03-27,30,30
Easter Monday,1910-03-28,1583,1583
April Fools’ Day,1910-04-01,1564,1564
Cinco de Mayo,1910-05-05,1809,1809
Mother’s Day,1910-05-08,1907,1907
Victoria Day,1910-05-24,1837,1845
Memorial Day,1910-05-30,1868,1868
Father’s Day,1910-06-19,1910,1910
Summer Solstice,1910-06-22,-10000,-10000
St. Jean-Baptiste Day,1910-06-24,1638,1638
Canada Day,1910-07-01,1867,1867
Independence Day,1910-07-04,1776,1776
Utah Pioneer Day,1910-07-24,1847,1847
Canadian Labour Day,1910-09-05,1884,1884
American Labor Day,1910-09-05,1882,1882
Autumnal Equinox,1910-09-23,-10000,-10000
Canadian Thanksgiving,1910-10-10,1700,1700
Columbus Day,1910-10-12,1905,1905
Creationism Day,1910-10-23,-4004,-4004
Halloween,1910-10-31,-2000,-2000
General Election Day,1910-11-08,1789,1789
American Thanksgiving,1910-11-24,1621,1621
St. Andrews Day,1910-11-30,732,732
Winter Solstice,1910-12-22,-10000,-10000
Christmas Eve,1910-12-24,1,1
Christmas in UK and Canada,1910-12-25,1,1
Christmas in the USA,1910-12-25,1,1
Boxing Day in UK and Canada,1910-12-26,1,1
New Year’s Eve,1910-12-31,-154,-154
New Year’s Day,1911-01-01,-153,-153
US Congressional Start Day,1911-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1911-01-25,1759,1759
Australia Day,1911-01-26,1804,1804
Groundhog Day,1911-02-02,1841,1841
Lincoln’s Birthday,1911-02-12,1809,1809
Valentine’s Day,1911-02-14,200,200
Alberta Family Day,1911-02-20,1900,1900
Washington’s Birthday,1911-02-20,1796,1796
Mardi Gras,1911-02-28,1583,1583
Ash Wednesday,1911-03-01,1583,1583
St. Patrick’s day,1911-03-17,400,400
Vernal Equinox,1911-03-21,-10000,-10000
April Fools’ Day,1911-04-01,1564,1564
Palm Sunday,1911-04-09,1583,1583
Good Friday,1911-04-14,1583,1583
Easter Sunday,1911-04-16,30,30
Easter Monday,1911-04-17,1583,1583
Cinco de Mayo,1911-05-05,1809,1809
Mother’s Day,1911-05-14,1907,1907
Victoria Day,1911-05-24,1837,1845
Memorial Day,1911-05-29,1868,1868
Father’s Day,1911-06-18,1910,1910
Summer Solstice,1911-06-22,-10000,-10000
St. Jean-Baptiste Day,1911-06-24,1638,1638
Canada Day,1911-07-01,1867,1867
Independence Day,1911-07-04,1776,1776
Utah Pioneer Day,1911-07-24,1847,1847
Canadian Labour Day,1911-09-04,1884,1884
American Labor Day,1911-09-04,1882,1882
Autumnal Equinox,1911-09-24,-10000,-10000
Canadian Thanksgiving,1911-10-09,1700,1700
Columbus Day,1911-10-12,1905,1905
Creationism Day,1911-10-23,-4004,-4004
Halloween,1911-10-31,-2000,-2000
American Thanksgiving,1911-11-30,1621,1621
St. Andrews Day,1911-11-30,732,732
Winter Solstice,1911-12-22,-10000,-10000
Christmas Eve,1911-12-24,1,1
Christmas in UK and Canada,1911-12-25,1,1
Christmas in the USA,1911-12-25,1,1
Boxing Day in UK and Canada,1911-12-26,1,1
New Year’s Eve,1911-12-31,-154,-154
New Year’s Day,1912-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1912-01-25,1759,1759
Australia Day,1912-01-26,1804,1804
Groundhog Day,1912-02-02,1841,1841
Lincoln’s Birthday,1912-02-12,1809,1809
Valentine’s Day,1912-02-14,200,200
Alberta Family Day,1912-02-19,1900,1900
Washington’s Birthday,1912-02-19,1796,1796
Mardi Gras,1912-02-20,1583,1583
Ash Wednesday,1912-02-21,1583,1583
St. Patrick’s day,1912-03-17,400,400
Vernal Equinox,1912-03-20,-10000,-10000
Palm Sunday,1912-03-31,1583,1583
April Fools’ Day,1912-04-01,1564,1564
Good Friday,1912-04-05,1583,1583
Easter Sunday,1912-04-07,30,30
Easter Monday,1912-04-08,1583,1583
Cinco de Mayo,1912-05-05,1809,1809
Mother’s Day,1912-05-12,1907,1907
Victoria Day,1912-05-24,1837,1845
Memorial Day,1912-05-27,1868,1868
Father’s Day,1912-06-16,1910,1910
Summer Solstice,1912-06-21,-10000,-10000
St. Jean-Baptiste Day,1912-06-24,1638,1638
Canada Day,1912-07-01,1867,1867
Independence Day,1912-07-04,1776,1776
Utah Pioneer Day,1912-07-24,1847,1847
Canadian Labour Day,1912-09-02,1884,1884
American Labor Day,1912-09-02,1882,1882
Autumnal Equinox,1912-09-23,-10000,-10000
Columbus Day,1912-10-12,1905,1905
Canadian Thanksgiving,1912-10-14,1700,1700
Creationism Day,1912-10-23,-4004,-4004
Halloween,1912-10-31,-2000,-2000
General Election Day,1912-11-05,1789,1789
American Thanksgiving,1912-11-28,1621,1621
St. Andrews Day,1912-11-30,732,732
Winter Solstice,1912-12-22,-10000,-10000
Christmas Eve,1912-12-24,1,1
Christmas in UK and Canada,1912-12-25,1,1
Christmas in the USA,1912-12-25,1,1
Boxing Day in UK and Canada,1912-12-26,1,1
New Year’s Eve,1912-12-31,-154,-154
New Year’s Day,1913-01-01,-153,-153
US Congressional Start Day,1913-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1913-01-25,1759,1759
Australia Day,1913-01-26,1804,1804
Groundhog Day,1913-02-02,1841,1841
Mardi Gras,1913-02-04,1583,1583
Ash Wednesday,1913-02-05,1583,1583
Lincoln’s Birthday,1913-02-12,1809,1809
Valentine’s Day,1913-02-14,200,200
Alberta Family Day,1913-02-17,1900,1900
Washington’s Birthday,1913-02-17,1796,1796
US Presidential Inauguration Day,1913-03-04,1789,1789
Palm Sunday,1913-03-16,1583,1583
St. Patrick’s day,1913-03-17,400,400
Vernal Equinox,1913-03-21,-10000,-10000
Good Friday,1913-03-21,1583,1583
Easter Sunday,1913-03-23,30,30
Easter Monday,1913-03-24,1583,1583
April Fools’ Day,1913-04-01,1564,1564
Cinco de Mayo,1913-05-05,1809,1809
Mother’s Day,1913-05-11,1907,1907
Victoria Day,1913-05-24,1837,1845
Memorial Day,1913-05-26,1868,1868
Father’s Day,1913-06-15,1910,1910
Summer Solstice,1913-06-22,-10000,-10000
St. Jean-Baptiste Day,1913-06-24,1638,1638
Canada Day,1913-07-01,1867,1867
Independence Day,1913-07-04,1776,1776
Utah Pioneer Day,1913-07-24,1847,1847
Canadian Labour Day,1913-09-01,1884,1884
American Labor Day,1913-09-01,1882,1882
Autumnal Equinox,1913-09-23,-10000,-10000
Columbus Day,1913-10-12,1905,1905
Canadian Thanksgiving,1913-10-13,1700,1700
Creationism Day,1913-10-23,-4004,-4004
Halloween,1913-10-31,-2000,-2000
American Thanksgiving,1913-11-27,1621,1621
St. Andrews Day,1913-11-30,732,732
Winter Solstice,1913-12-22,-10000,-10000
Christmas Eve,1913-12-24,1,1
Christmas in UK and Canada,1913-12-25,1,1
Christmas in the USA,1913-12-25,1,1
Boxing Day in UK and Canada,1913-12-26,1,1
New Year’s Eve,1913-12-31,-154,-154
New Year’s Day,1914-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1914-01-25,1759,1759
Australia Day,1914-01-26,1804,1804
Groundhog Day,1914-02-02,1841,1841
Lincoln’s Birthday,1914-02-12,1809,1809
Valentine’s Day,1914-02-14,200,200
Alberta Family Day,1914-02-16,1900,1900
Washington’s Birthday,1914-02-16,1796,1796
Mardi Gras,1914-02-24,1583,1583
Ash Wednesday,1914-02-25,1583,1583
St. Patrick’s day,1914-03-17,400,400
Vernal Equinox,1914-03-21,-10000,-10000
April Fools’ Day,1914-04-01,1564,1564
Palm Sunday,1914-04-05,1583,1583
Good Friday,1914-04-10,1583,1583
Easter Sunday,1914-04-12,30,30
Easter Monday,1914-04-13,1583,1583
Cinco de Mayo,1914-05-05,1809,1809
Mother’s Day,1914-05-10,1907,1907
Victoria Day,1914-05-25,1837,1845
Memorial Day,1914-05-25,1868,1868
Father’s Day,1914-06-21,1910,1910
Summer Solstice,1914-06-22,-10000,-10000
St. Jean-Baptiste Day,1914-06-24,1638,1638
Canada Day,1914-07-01,1867,1867
Independence Day,1914-07-04,1776,1776
Utah Pioneer Day,1914-07-24,1847,1847
Canadian Labour Day,1914-09-07,1884,1884
American Labor Day,1914-09-07,1882,1882
Autumnal Equinox,1914-09-23,-10000,-10000
Canadian Thanksgiving,1914-10-12,1700,1700
Columbus Day,1914-10-12,1905,1905
Creationism Day,1914-10-23,-4004,-4004
Halloween,1914-10-31,-2000,-2000
General Election Day,1914-11-03,1789,1789
American Thanksgiving,1914-11-26,1621,1621
St. Andrews Day,1914-11-30,732,732
Winter Solstice,1914-12-22,-10000,-10000
Christmas Eve,1914-12-24,1,1
Christmas in UK and Canada,1914-12-25,1,1
Christmas in the USA,1914-12-25,1,1
Boxing Day in UK and Canada,1914-12-26,1,1
New Year’s Eve,1914-12-31,-154,-154
New Year’s Day,1915-01-01,-153,-153
US Congressional Start Day,1915-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1915-01-25,1759,1759
Australia Day,1915-01-26,1804,1804
Groundhog Day,1915-02-02,1841,1841
Lincoln’s Birthday,1915-02-12,1809,1809
Valentine’s Day,1915-02-14,200,200
Alberta Family Day,1915-02-15,1900,1900
Washington’s Birthday,1915-02-15,1796,1796
Mardi Gras,1915-02-16,1583,1583
